user_id;username;name;follower;following;tweet_cound;list_count;verified;created_at
23059499;SeekingAlpha;Seeking Alpha;204990;75;883291;4933;False;2009-03-06 12:52:56+00:00
2730855593;stockschamp;stockschamp;482;8;68822;16;False;2014-08-01 16:39:24+00:00
2338882843;dailypoliticaln;Daily Political;1396;10;1266439;84;False;2014-02-11 19:38:04+00:00
2266388972;midetimes;MidEast Times;681;45;1104630;87;False;2013-12-28 20:16:47+00:00
2525892205;intercooleronli;InterCooler;856;11;1273510;100;False;2014-05-26 21:20:18+00:00
68559732;MarketBeatCom;MarketBeat;13206;2530;1753038;776;False;2009-08-25 00:39:44+00:00
272858172;Pgrecoit;Pasquale;298;74;73769;232;False;2011-03-27 09:42:41+00:00
15296897;MarketCurrents;Breaking News;81836;1;943066;2509;False;2008-07-02 10:38:58+00:00
2298709746;WatchlistN;Watchlist News;3210;11;1345448;160;False;2014-01-19 00:22:08+00:00
2181281054;WKRBNews;WKRB News;1269;9;1720336;141;False;2013-11-08 02:17:02+00:00
2435600154;MosaicGuys;Mosaic Art Designers;349;0;600113;159;False;2014-04-09 15:22:37+00:00
1979190776;TickerReport;Ticker Report;3951;41;2046538;194;False;2013-10-21 15:58:27+00:00
61661638;AmericanBanking;US Banking News;8508;2018;2906221;722;False;2009-07-31 01:58:33+00:00
703860210;AsianGamer_yt;Leon;309;383;18625;11;False;2012-07-18 21:55:35+00:00
706356170374717440;xfinstocks2016;xfinstocks2016;205;39;27052;56;False;2016-03-06 05:50:09+00:00
1850041968;PolgarStocks;PolgarStocks;1410;391;248996;161;False;2013-09-10 02:17:36+00:00
2447921562;Finmarketnews;Davis Bowen;771;0;142759;42;False;2014-04-16 20:02:19+00:00
2196900553;nasdaqfan;nasdaqfan;868;392;168421;160;False;2013-11-16 01:26:30+00:00
68559732;MarketBeatCom;MarketBeat;13206;2530;1753038;776;False;2009-08-25 00:39:44+00:00
4811798929;financ_mortgage;Mortgage News;294;3;122037;119;False;2016-01-25 10:04:30+00:00
4811951173;bfsi_ibb;Investment News;411;2;185421;191;False;2016-01-25 10:50:00+00:00
