Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,74.080002,74.779999,73.250000,74.379997,71.090660,12623500
2016-02-02,73.500000,74.209999,73.129997,73.400002,70.153999,9572700
2016-02-03,73.760002,74.629997,72.430000,74.379997,71.090660,9941900
2016-02-04,74.099998,74.629997,72.760002,73.680000,70.421631,14735700
2016-02-05,73.559998,73.610001,70.550003,71.540001,68.376266,12939400
2016-02-08,69.949997,70.040001,66.300003,67.769997,64.772964,30542600
2016-02-09,66.389999,69.480003,66.120003,68.330002,65.308205,14882800
2016-02-10,69.139999,71.029999,69.070000,70.150002,67.047737,11369500
2016-02-11,67.790001,69.070000,67.430000,68.470001,65.442024,13962100
2016-02-12,69.440002,70.470001,69.120003,70.419998,67.305779,8710200
2016-02-16,71.410004,71.750000,70.400002,71.099998,67.955734,8780700
2016-02-17,71.730003,72.120003,71.300003,72.029999,68.980408,8494100
2016-02-18,71.889999,72.250000,71.019997,71.239998,68.223862,6938100
2016-02-19,71.029999,71.720001,70.300003,71.529999,68.501579,7750900
2016-02-22,72.279999,73.190002,72.099998,73.059998,69.966797,7481500
2016-02-23,72.949997,73.120003,71.989998,72.150002,69.095329,6177000
2016-02-24,71.250000,72.190002,70.379997,71.849998,68.808006,7728600
2016-02-25,71.959999,73.339996,71.940002,73.269997,70.167900,6840900
2016-02-26,73.739998,73.910004,72.690002,72.730003,69.650795,6714100
2016-02-29,72.860001,73.900002,72.389999,72.389999,69.325150,7786100
2016-03-01,72.989998,74.639999,72.900002,74.639999,71.479912,8705300
2016-03-02,74.500000,74.599998,73.660004,74.300003,71.154312,5739100
2016-03-03,74.480003,74.500000,73.360001,73.910004,70.780823,6588300
2016-03-04,74.220001,74.250000,73.610001,73.900002,70.771248,9475300
2016-03-07,73.389999,73.449997,71.349998,71.940002,68.894211,16671900
2016-03-08,71.500000,71.519997,70.510002,70.620003,67.630096,12394400
2016-03-09,71.000000,71.080002,69.900002,70.680000,67.687569,9291600
2016-03-10,71.139999,71.400002,69.580002,70.220001,67.247040,10135100
2016-03-11,71.150002,72.010002,70.680000,71.629997,68.597336,9466400
2016-03-14,71.599998,71.720001,70.949997,71.489998,68.463264,7916500
2016-03-15,71.180000,71.910004,70.660004,71.910004,68.865479,6442800
2016-03-16,71.680000,72.830002,71.510002,72.370003,69.306015,7561800
2016-03-17,72.279999,73.669998,72.169998,73.139999,70.043434,7411700
2016-03-18,73.500000,74.099998,73.129997,73.779999,70.656296,15026200
2016-03-21,73.580002,73.940002,73.150002,73.769997,70.646744,7397400
2016-03-22,73.239998,73.650002,72.930000,72.959999,69.871033,6796800
2016-03-23,72.949997,74.169998,72.769997,73.910004,70.780823,7287100
2016-03-24,73.650002,74.160004,73.410004,74.139999,71.001060,6303900
2016-03-28,74.139999,74.269997,73.720001,74.080002,70.943619,7283300
2016-03-29,74.019997,75.589996,73.919998,75.379997,72.188599,10541500
2016-03-30,75.900002,77.000000,75.839996,76.779999,73.529305,9691900
2016-03-31,76.620003,76.919998,75.949997,76.480003,73.242012,7490800
2016-04-01,76.250000,78.250000,75.800003,77.589996,74.305008,10183400
2016-04-04,77.970001,78.309998,77.529999,77.830002,74.534874,6905800
2016-04-05,77.139999,77.470001,76.580002,76.970001,73.711288,6012000
2016-04-06,77.080002,78.279999,77.000000,78.209999,74.898766,6220400
2016-04-07,77.709999,77.980003,77.190002,77.580002,74.295448,7542100
2016-04-08,78.080002,78.620003,77.809998,78.029999,74.726387,5327500
2016-04-11,78.360001,78.779999,77.769997,77.820000,74.525269,5957200
2016-04-12,77.720001,78.550003,77.650002,78.519997,75.195625,5962900
2016-04-13,79.029999,79.930000,78.910004,79.709999,76.335274,9187300
2016-04-14,79.760002,80.669998,79.309998,80.330002,76.929008,11470300
2016-04-15,80.250000,80.690002,79.900002,80.080002,76.689568,7186700
2016-04-18,80.199997,81.550003,79.830002,81.449997,78.001572,7761200
2016-04-19,81.500000,81.730003,80.370003,80.750000,77.331223,8324700
2016-04-20,80.879997,81.639999,80.550003,81.150002,77.714279,8521300
2016-04-21,81.500000,81.669998,80.680000,80.790001,77.369537,9536900
2016-04-22,78.000000,79.360001,77.279999,79.110001,75.760628,18216000
2016-04-25,78.690002,78.839996,77.820000,78.139999,74.831734,11184600
2016-04-26,78.449997,78.699997,78.110001,78.529999,75.205223,6071800
2016-04-27,78.410004,79.000000,78.169998,78.760002,75.425468,6319400
2016-04-28,78.349998,79.269997,77.599998,77.680000,74.391190,8322600
2016-04-29,77.519997,78.010002,76.860001,77.239998,73.969818,8092700
2016-05-02,77.809998,78.470001,77.160004,78.459999,75.138191,7636800
2016-05-03,77.430000,78.360001,76.930000,77.190002,73.921936,7666300
2016-05-04,76.559998,77.379997,76.349998,77.070000,73.807022,8854000
2016-05-05,77.139999,77.699997,77.010002,77.360001,74.084763,6002300
2016-05-06,77.230003,77.800003,76.779999,77.720001,74.429520,6172600
2016-05-09,77.690002,78.360001,77.580002,78.220001,74.908340,9242300
2016-05-10,78.419998,79.330002,78.410004,79.199997,75.846848,6802600
2016-05-11,79.139999,79.330002,77.290001,77.300003,74.158371,8432500
2016-05-12,77.800003,78.190002,77.070000,77.889999,74.724434,7512800
2016-05-13,77.709999,78.279999,76.830002,76.830002,73.707489,7562700
2016-05-16,77.019997,78.059998,76.959999,77.800003,74.638054,8597900
2016-05-17,77.570000,77.919998,76.519997,76.790001,73.669128,7169900
2016-05-18,76.709999,77.879997,76.400002,77.430000,74.283112,6288500
