Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,47.090000,47.090000,46.299999,46.299999,45.893112,69
2016-02-02,46.195000,46.195000,46.195000,46.195000,45.789028,0
2016-02-03,45.000000,45.000000,44.849998,44.849998,44.455849,90
2016-02-04,45.485001,45.485001,45.485001,45.485001,45.085274,0
2016-02-05,43.500000,44.000000,42.465000,42.465000,42.091812,110
2016-02-08,43.180000,43.180000,40.840000,40.840000,40.481091,555
2016-02-09,38.250000,38.439999,38.250000,38.439999,38.102184,211
2016-02-10,39.685001,41.325001,39.685001,41.325001,40.961830,270
2016-02-11,40.485001,40.485001,40.485001,40.485001,40.129211,0
2016-02-12,39.630001,39.630001,39.549999,39.549999,39.202427,250
2016-02-15,41.240002,42.299999,41.105000,41.279999,40.917221,995
2016-02-16,41.110001,41.110001,41.110001,41.110001,40.748726,0
2016-02-17,40.139999,40.845001,40.139999,40.845001,40.486053,49
2016-02-18,41.900002,43.455002,41.900002,43.455002,43.073116,425
2016-02-19,42.759998,42.759998,42.759998,42.759998,42.384220,0
2016-02-22,42.794998,42.794998,42.794998,42.794998,42.418903,0
2016-02-23,42.230000,42.700001,42.230000,42.700001,42.324745,150
2016-02-24,42.485001,43.099998,33.500000,36.099998,35.782745,1793
2016-02-25,37.299999,37.299999,33.700001,36.040001,35.723274,1755
2016-02-26,36.900002,37.990002,36.900002,37.299999,36.972202,1371
2016-02-29,36.000000,36.570000,34.845001,36.570000,36.248615,305
2016-03-01,36.445000,36.695000,36.445000,36.695000,36.372517,100
2016-03-02,37.000000,39.380001,37.000000,39.095001,38.751431,760
2016-03-03,38.299999,39.000000,38.299999,38.650002,38.310337,403
2016-03-04,38.305000,39.334999,38.305000,39.169998,38.825764,55
2016-03-07,39.005001,39.005001,37.000000,37.299999,36.972202,987
2016-03-08,37.110001,37.110001,34.845001,34.845001,34.538780,86
2016-03-09,34.950001,35.900002,34.195000,35.900002,35.584507,175
2016-03-10,35.200001,35.200001,32.494999,32.500000,32.214386,221
2016-03-11,32.915001,33.660000,32.904999,33.660000,33.364189,66
2016-03-14,34.415001,35.119999,34.415001,35.119999,34.811359,411
2016-03-15,35.200001,35.200001,33.689999,34.349998,34.048122,109
2016-03-16,34.209999,34.450001,34.209999,34.450001,34.147251,2023
2016-03-17,34.099998,34.099998,32.450001,33.299999,33.007355,685
2016-03-18,33.180000,33.180000,32.165001,32.165001,31.882332,531
2016-03-21,32.634998,32.634998,32.095001,32.095001,31.812946,400
2016-03-22,30.715000,31.370001,29.700001,31.000000,30.727568,2219
2016-03-23,30.690001,31.905001,30.690001,31.905001,31.624615,100
2016-03-24,32.119999,32.119999,32.119999,32.119999,31.837725,0
2016-03-29,32.500000,32.500000,31.740000,31.740000,31.461063,1200
2016-03-30,31.735001,33.509998,31.735001,33.509998,33.215504,63
2016-03-31,33.200001,33.200001,33.200001,33.200001,32.908237,0
2016-04-01,33.500000,33.785000,33.500000,33.785000,33.488094,150
2016-04-04,35.400002,35.400002,34.400002,34.445000,34.142292,307
2016-04-05,33.855000,33.855000,33.244999,33.244999,32.952835,200
2016-04-06,33.415001,34.105000,33.415001,34.105000,33.805275,2
2016-04-07,34.310001,35.020000,33.715000,33.715000,33.418713,350
2016-04-08,33.200001,33.900002,33.200001,33.900002,33.602081,200
2016-04-11,33.840000,33.840000,33.840000,33.840000,33.542606,0
2016-04-12,34.250000,34.250000,33.494999,33.494999,33.200638,65
2016-04-13,33.660000,34.044998,33.660000,34.044998,33.745811,200
2016-04-14,34.930000,35.320000,34.480000,34.480000,34.176983,255
2016-04-15,34.500000,35.029999,34.500000,35.025002,34.717197,300
2016-04-18,34.209999,35.070000,34.209999,34.959999,34.652763,275
2016-04-19,35.189999,35.740002,35.189999,35.740002,35.425911,36
2016-04-20,35.555000,35.555000,35.195000,35.195000,34.885700,150
2016-04-21,35.389999,35.389999,35.389999,35.389999,35.078987,0
2016-04-22,34.974998,34.974998,34.974998,34.974998,34.667633,0
2016-04-25,35.700001,35.700001,35.400002,35.400002,35.088902,251
2016-04-26,35.400002,35.400002,35.119999,35.395000,35.083942,105
2016-04-27,35.700001,38.000000,35.700001,38.000000,37.666054,595
2016-04-28,37.595001,37.950001,36.880001,36.880001,36.555893,193
2016-04-29,37.615002,37.615002,37.000000,37.000000,36.674839,135
